	?股票代码	?股票简称	?申购代码	?发行总数（万股）	?网上发行（万股）	?申购上限（万股）	?发行价格	?发行市盈率	?行业市盈率	?申购日期	?冻结资金（亿元）	?询价累计报价倍数	?中签率（%）	?每中一签（万元）	?中签号	?上市日期	?打新收益（元）	?涨停数量	新股详情	收益率/%
107	300442	普丽盛	300442	2500	2250	1	19.17	22.55	48.1	04-16周四	696	143	0.62	155	查看	24-Apr	16415	7	详细?公告	1.06
108	300438	鹏辉能源	300438	2100	1890	0.8	14.87	22.99	37.1	04-16周四	618	183	0.45	164	查看	24-Apr	88415	23	详细?公告	5.39
109	300460	惠伦晶体	300460	4208	3787	1.55	6.43	22.96	70.42	05-05周二	718	204	0.34	95	查看	15-May	20205	17	详细?公告	2.13
110	300459	浙江金科	300459	2650	2385	1.05	7.84	22.97	52.34	05-05周二	569	172	0.33	119	查看	15-May	23580	17	详细?公告	1.98
111	300457	赢合科技	300457	1950	1755	0.75	12.41	20.34	70.42	05-05周二	659	232	0.33	188	查看	14-May	38525	19	详细?公告	2.05
112	2756	永兴特钢	2756	5000	4500	2	21.74	17.97	61.16	05-05周二	2044	177	0.48	227	查看	15-May	45630	14	详细?公告	2.01
113	300451	创业软件	300451	1700	1530	0.65	14.02	22.98	138.26	05-05周二	1062	346	0.2	347	查看	14-May	92460	25	详细?公告	2.66
114	300452	山河药辅	300452	1160	1044	0.45	14.96	22.99	57.07	05-05周二	528	237	0.3	253	查看	15-May	52415	18	详细?公告	2.07
115	300414	中光防雷	300414	2107	1896	0.8	14.74	13.24	70.42	05-05周二	932	202	0.3	246	查看	13-May	50420	19	详细?公告	2.05
116	603355	莱克电气	732355	4100	3690	1.2	19.08	22.99	42.88	05-05周二	1781	165	0.4	483	查看	13-May	95920	16	详细?公告	1.99
117	603599	广信股份	732599	4706	4235	1.8	16.11	20.62	52.34	05-05周二	2160	165	0.32	510	查看	13-May	82880	16	详细?公告	1.63
118	300455	康拓红外	300455	3500	3150	1.4	6.88	18.11	70.82	05-06周三	626	177	0.35	99	查看	15-May	36905	22	详细?公告	3.73
119	300458	全志科技	300458	4000	3600	1.6	12.73	19.89	70.42	05-06周三	1057	199	0.43	147	查看	15-May	61450	21	详细?公告	4.18
120	300456	耐威科技	300456	2100	1890	0.8	14.01	22.98	70.42	05-06周三	685	216	0.39	181	查看	14-May	54685	19	详细?公告	3.02
121	300453	三鑫医疗	300453	1986	1787	0.75	12.87	22.98	56.63	05-06周三	557	181	0.41	156	查看	15-May	36135	17	详细?公告	2.32
